金侨花园,龙华,38794
公园大地,龙岗,52512
中海西岸华府(南区),宝安,46323
中海康城花园,龙岗,40462
万科金域缇香(二期),坪山,43679
保利上城,龙岗,47379
振业峦山谷,龙岗,34454
金海华府,宝安,64010
佳兆业可园(北区),布吉,52907
国展苑,布吉,37484
锦绣御园,龙华,53740
苹果园,龙华,46657
金地上塘道(一期),龙华,58863
春华四季园,龙华,57680
益田村,福田,72951
丽湖花园,布吉,35426
龙珠花园,布吉,38123
桂芳园,布吉,42872
幸福华府,罗湖,24264
金港华庭,宝安,60883
万象天成,龙岗,32416
阳光花园,布吉,40640
怡龙枫景园,龙岗,34509
花样年花郡,宝安,90292
莲花北村,福田,71626
梅林一村,福田,73923
留仙居,南山,37178
皇庭世纪,福田,79696
名豪丽城,宝安,17981
布吉中心花园,布吉,43401
天骄世家,宝安,57406
怡康家园,布吉,45397
星河盛世,龙华,73534
园岭新村,福田,81949
绿景香颂花园,龙华,62775
金域豪庭(二期),宝安,48795
西城上筑,宝安,83310
阳光天健城,龙岗,64711
桂芳园(六期),布吉,43356
中兆花园,布吉,39090
万科金色领域,宝安,51610
中粮一品澜山花园,坪山,28164
英达钰龙园,南山,74949
书香门第上河坊(书香门第二期),龙华,67235
今日家园,罗湖,62184
鹏达摩尔城,龙岗,34017
第五园一期,龙岗,58558
百仕达花园(三期),罗湖,62425
大冲城市花园,南山,116064
金泓凯旋城,宝安,89348
现代城华庭,南山,72715
振业翠海花园,福田,139770
深业东城御园,坪山,26927
星河时代,龙岗,54656
雍翠华府,罗湖,54614
星海名城(一期),南山,72305
世纪春城(四期),龙华,51198
花样年花好园,福田,78058
中海怡翠,布吉,40892
信义锦绣花园,龙岗,39089
招商澜园(南区),龙华,48348
紫薇花园,龙岗,33207
红树西岸,南山,148732
香缤广场,宝安,64851
中海阳光玫瑰园,南山,94436
汇景豪苑,南山,64837
金丽豪苑,罗湖,84668
雍景城,光明,42498
中海怡美山庄,龙岗,37958
信义御城(二期),龙岗,43053
富通好旺角(一期),宝安,89707
嘉葆润金座,福田,87573
荣超花园,布吉,37218
都市花园,福田,64493
信和爱琴居,布吉,38090
卡罗社区,宝安,73728
宏发上域花园,光明,48311
中航天逸,龙华,74634
东方明珠城,龙岗,35978
天悦龙庭(一期),宝安,84090
东海国际公寓,福田,118849
桦润馨居,龙华,40739
丹枫雅苑,龙华,48257
金城华庭,罗湖,75794
南国丽城,南山,67852
新德家园,南山,79532
城中雅苑,福田,89194
百合星城(一期),布吉,36797
潜龙鑫茂花园(A区),龙华,56902
理想家园,布吉,42316
鸿荣源西城雅筑,宝安,89140
百仕达花园(二期),罗湖,60873
金茂礼都,福田,153272
云顶嘉园,宝安,60523
佳兆业上品雅园,龙岗,61963
半岛城邦(二期),南山,97652
新亚洲花园,龙岗,35005
百仕达花园(一期),罗湖,65509
骏庭名园,罗湖,51538
万科四季花城(北区),龙岗,53576
绿海名都,南山,74773
英郡年华,布吉,44098
新天地名居,罗湖,62950
西岸观邸,宝安,111876
香格丽苑,福田,114632
万科金域华府,龙华,86637
叠翠新峰,龙岗,31946
前进公社,宝安,13058
白金假日公寓,宝安,79100
风格名苑,罗湖,63434
置地逸轩,罗湖,58995
鸿景园,宝安,62773
凤城花园,宝安,13569
锦绣江南(四期),龙华,48305
绿景公馆1866(北区),龙华,80916
鸿荣源禧园,宝安,51347
盛世江南,龙华,22726
警备区龙华公寓,龙华,18021
尚书苑,福田,68120
彩天名苑,福田,61889
华业玫瑰郡,龙岗,37141
菁英趣庭,宝安,82352
彩田村,福田,80628
万科金域东郡,坪山,36251
龙军花园,龙华,22127
丽阳天下名苑,福田,93503
桂芳园(八期),布吉,48400
奥林华府,龙岗,64996
万科城,龙岗,52567
依云伴山,南山,99072
翠竹苑,罗湖,66071
豪方天际,南山,89643
京基御景华城,福田,66515
东方银座公馆,南山,83393
中粮锦云,宝安,69967
特发和平里(一期),龙华,59456
招商果岭花园,宝安,64494
中海华庭,福田,95515
旭飞华天苑,罗湖,37664
东乐花园(罗湖),罗湖,49862
德意名居(一期),南山,75451
万科清林径(一期),龙岗,31944
志健时代广场,龙岗,34804
祥云天都世纪,福田,56377
丽晶国际,宝安,74784
中海大山地,龙岗,38918
漾日湾畔,南山,130777
都市名园,罗湖,58632
绿洲丰和家园,福田,93028
花半里,龙岗,41061
名骏豪庭,罗湖,51134
梅花山庄(别墅),龙华,83612
环岛丽园,罗湖,69603
金色都汇,罗湖,60704
金地名津,福田,66442
翠景居,宝安,52914
满京华喜悦里华庭,龙岗,42232
锦绣江南,龙华,46391
诺德假日花园,南山,99599
万科翡丽郡(一期),宝安,49127
世纪春城(三期),龙华,48364
金洲花园,罗湖,44159
鸿翔花园,罗湖,78011
阳光新境园,龙华,49868
滨海之窗,南山,129630
圣淘沙骏园,宝安,78565
集信名城,宝安,42315
大益广场,宝安,52502
远洋新干线(二期),龙岗,37998
领航里程花园(中信领航城一期),宝安,64626
宝利豪庭,宝安,36716
城市明珠,龙华,46945
首地容御花园,南山,90708
阳光棕榈园,南山,72745
宝能太古城北区,南山,159969
美丽365花园,龙华,44128
星座传奇,福田,94863
沙利公馆,宝安,18856
信和自由广场,南山,76983
港逸豪庭,罗湖,43762
友邻公寓,南山,85775
佳兆业大都汇,布吉,30727
御景台,宝安,72913
前海金岸,南山,72034
中航格澜阳光花园(一期),龙华,45175
朗景园,南山,86551
和平广场,罗湖,53977
旭飞花园,福田,68207
佳兆业茗萃园(一期),龙岗,36066
康达尔花园,布吉,40007
创兴时代,龙岗,36948
玮鹏花园(核电公寓),福田,88901
丰湖花园,罗湖,42834
前海花园,南山,67041
四海公寓,南山,80988
茂业城,布吉,32433
中海怡瑞山居,布吉,38917
松岗鸿福花园,宝安,12134
崇文花园,南山,21749
桑泰水木丹华,南山,79223
泰华俊庭,宝安,62699
美丽家园南区,龙华,42312
金石雅苑,宝安,47044
中洲华府(一期),宝安,97112
向南瑞峰花园,南山,84343
富通天骏,龙华,47501
花样年花乡,宝安,87642
宏发君域,宝安,44403
海滨广场,福田,54090
中骏四季阳光,龙岗,32467
中信湾上六座花园,宝安,66960
富盈门,宝安,52034
潜龙曼海宁(北区),龙华,63554
西城丰和,宝安,53548
招商依山郡,龙岗,42989
御河堤(城滨雅苑),福田,66664
丹梓龙庭,坪山,23840
名仕阁,罗湖,51956
金海岸,南山,80192
招商花园城,坪山,40327
愉天小区,罗湖,94433
宝能太古城南区,南山,153557
和谐家园,布吉,54241
龙城华府,龙岗,40799
佳兆业茗萃园(二期),龙岗,36023
合正汇一城,宝安,71477
阳光花地苑,南山,81224
信义御城(一期),龙岗,43162
日豪名园,罗湖,45786
西海明珠,南山,86209
鸿威海怡湾畔花园,南山,147912
清湖湾花园,龙华,13260
桃源盛世园,宝安,57111
碧水龙庭(一二期),龙华,55151
阳光带海滨城彩虹之岸(阳光带海滨城二期),南山,132715
深物业新华城,龙华,49485
第5大道高发西岸花园,宝安,93005
棕榈堡花园,宝安,46893
南光城市花园,南山,92066
大世纪水山缘,布吉,41540
熙园,福田,161966
鹏盛村,福田,58137
太阳新城,罗湖,51826
城市天地广场,罗湖,51690
香域中央花园,福田,162899
皇御苑(一期),福田,63957
和成世纪名园,龙岗,51993
